transaction_uuid,transaction_timestamp,transaction_type,source_amount,source_currency,destination_amount,destination_currency,fee_amount,fee_currency,currency_pair,exchange_rate
232d3939-e706-4438-b535-81c164441441,2014-12-05T22:23:30+11:00,buy,20.00,AUD,0.04378384,BTC,0.00087568,BTC,BTC/AUD,456.7895
82826f93-aa15-4cc7-a2d3-3b75e0d2fa9c,2014-12-10T13:20:17+11:00,buy,0.40,AUD,0.00090216,BTC,0.00001804,BTC,BTC/AUD,443.3798
b9b1f098-447d-40b9-a8ca-cfbfe7bb21c7,2014-12-10T14:16:26+11:00,sell,1.00000000,BTC,433.28,AUD,4.33,AUD,BTC/AUD,433.275
571e677c-c19a-4b58-ab80-da1b1ff1c3e6,2014-12-10T14:50:39+11:00,sell,0.00000010,BTC,0.00,AUD,,,BTC/AUD,433.0548
58feb626-c321-4b0d-9048-c848e13444c0,2014-12-10T14:51:31+11:00,sell,0.00000010,BTC,0.00,AUD,,,BTC/AUD,433.0409
cdb419cf-8bea-497a-b0b2-b72ed93b79df,2015-01-08T13:48:34+11:00,buy,2.00,AUD,0.00553766,BTC,0.00011075,BTC,BTC/AUD,361.1634
2c6d8a2b-d3f7-463f-95cb-6836a9062d75,2015-01-08T13:48:58+11:00,sell,3.00000000,BTC,"1,062.63",AUD,10.63,AUD,BTC/AUD,354.211
f54750d2-016e-4661-8005-3c712e546f2a,2015-01-08T13:51:04+11:00,buy,43.39,AUD,0.12000000,BTC,0.87,AUD,BTC/AUD,361.5478
c0594e2e-58b8-44c8-a926-a341702055f3,2015-01-08T15:51:43+11:00,buy,200.00,AUD,0.55086843,BTC,0.01101737,BTC,BTC/AUD,363.0631
df222049-73e2-4416-839b-a3c476ffe820,2015-01-08T15:52:24+11:00,buy,200.00,AUD,0.55102551,BTC,4.00,AUD,BTC/AUD,362.9596
1e1b7644-55e4-4e0f-9ba8-7f516d6a40a8,2015-01-12T16:59:39+11:00,buy,30.00,AUD,0.09042867,BTC,0.00180857,BTC,BTC/AUD,331.7532
db6a09b2-c11b-4ded-9fea-5310ff761f3e,2015-01-13T17:26:55+11:00,sell,10.00000000,BTC,"3,007.74",AUD,30.08,AUD,BTC/AUD,300.7743
aa51aee4-a722-47a9-bc71-4e0da7f34107,2015-01-21T10:11:54+11:00,sell,3.00000000,BTC,428.74,GBP,,,BTC/GBP,142.9125
927b7979-6a06-456d-95bb-acc8742d3d11,2015-01-21T10:19:23+11:00,sell,5.00000000,BTC,714.53,GBP,,,BTC/GBP,142.9059
a62ec0c9-337f-48ff-9a3f-9ce45b1ba2b8,2015-01-21T17:37:30+11:00,sell,1.00000000,BTC,265.14,AUD,,,BTC/AUD,265.137
6924bb6f-be8d-42a7-8255-6f1936451570,2015-01-22T11:29:13+11:00,sell,0.08000000,BTC,22.71,AUD,0.23,AUD,BTC/AUD,283.9074
16ce2cdd-85f8-4179-818d-92839f332177,2015-01-22T11:35:37+11:00,sell,0.09000000,BTC,25.54,AUD,0.26,AUD,BTC/AUD,283.7397
86db9566-4b3c-418d-8a46-7b5fcc8e166d,2015-01-22T12:04:22+11:00,sell,0.30000000,BTC,85.52,AUD,,,BTC/AUD,285.0679
3cf40766-4837-4c06-9bdb-a8b565c73c00,2015-01-22T12:42:55+11:00,sell,0.05000000,BTC,14.37,AUD,,,BTC/AUD,287.3113
e8f389af-086a-41cf-8800-fa33357aa9c1,2015-01-22T14:19:16+11:00,other,0.10,GBP,0.19,AUD,,,GBP/AUD,1.86549
bdd231fb-d3dd-48a0-9e93-c2e5b89676a5,2015-01-23T12:24:16+11:00,sell,3.00000000,BTC,698.04,USD,,,BTC/USD,232.6795
af9b6a74-c6a1-4bd9-a691-9b4ab64163e3,2015-01-23T12:30:01+11:00,sell,3.00000000,BTC,859.92,AUD,,,BTC/AUD,286.6396
